cluster,topic,dept,n,sample,prominence,dept_counts
Adsorption Mechanisms for Metal Ion Removal,Selective Adsorption of Precious Metal Ions,Kimia,96,"[""Simultaneous removal of lead(II), chromium(III), and copper(II) heavy metal ions through an adsorption process using C-phenylcalix[4]pyrogallolarene material"", ""Chitosan-functionalized natural magnetic particle@silica modified with (3-chloropropyl)trimethoxysilane as a highly stable magnetic adsorbent for gold(III) ion"", ""Linear and nonlinear modeling of kinetics and isotherm of malachite green dye adsorption to trimellitic-modified pineapple peel""]",97.7,"{""Kimia"": 76, ""Fisika"": 12, ""Belum terpetakan"": 1, ""Matematika"": 3, ""Ilmu Komputer dan Elektronika"": 4}"
"Image Segmentation, Deep Neural Networks and Object Detection",Deep Learning Techniques for Plant Disease Detection,Ilmu Komputer dan Elektronika,86,"[""Understanding of Convolutional Neural Network (CNN): A Review"", ""ALERT: Accurate learning for energy and timeliness"", ""Comparison of Multi-Label U-Net and Mask R-CNN for panoramic radiograph segmentation to detect periodontitis""]",100.0,"{""Ilmu Komputer dan Elektronika"": 68, ""Fisika"": 5, ""Matematika"": 6, ""Kimia"": 7}"
Catalytic Pyrolysis and Bio-Oil Production Potential,Catalytic Innovations in Biofuel Production,Kimia,85,"[""A Comprehensive Review of Experimental Parameters in Bio-oil Upgrading from Pyrolysis of Biomass to Biofuel Through Catalytic Hydrodeoxygenation"", ""Hydrocracking optimization of palm oil to bio-gasoline and bio-aviation fuels using molybdenum nitride-bentonite catalyst"", ""Green synthesis of hierarchical porous carbon prepared from coconut lumber sawdust as Ni-based catalyst support for hydrotreating Callophyllum inophyllum oil""]",94.2,"{""Kimia"": 81, ""Matematika"": 2, ""Ilmu Komputer dan Elektronika"": 2}"
Photocatalytic Properties of Titanium Dioxide Structures,Photocatalytic Innovations in Titanium Dioxide Applications,Kimia,72,"[""High reusability of green-synthesized Fe3O4/TiO2 photocatalyst nanoparticles for efficient degradation of methylene blue dye"", ""Doping TiO2 with Fe from iron rusty waste for enhancing its activity under visible light in the Congo red dye photodegradation"", ""Photocatalytic degradation of naphthol blue from Batik waste water using functionalized TiO2-based composites""]",92.5,"{""Fisika"": 11, ""Kimia"": 52, ""Matematika"": 4, ""Belum terpetakan"": 3, ""Ilmu Komputer dan Elektronika"": 2}"
Innovative Gas Sensors for Environmental Monitoring,Quartz Crystal Microbalance Sensors for Gas Detection,Fisika,67,"[""Gas and humidity sensing with quartz crystal microbalance (QCM) coated with graphene-based materials – A mini review"", ""Fast and noninvasive electronic nose for sniffing out COVID-19 based on exhaled breath-print recognition"", ""Gas sensor array to classify the chicken meat with E. coli contaminant by using random forest and support vector machine""]",96.1,"{""Fisika"": 41, ""Belum terpetakan"": 4, ""Kimia"": 11, ""Ilmu Komputer dan Elektronika"": 8, ""Matematika"": 3}"
Hydroxyapatite Applications in Biomedical Engineering,Hydroxyapatite Nanoparticles in Biomedical Applications,Fisika,56,"[""Bioceramic hydroxyapatite-based scaffold with a porous structure using honeycomb as a natural polymeric Porogen for bone tissue engineering"", ""Porous structure of bioceramics carbonated hydroxyapatite-based honeycomb scaffold for bone tissue engineering"", ""Porous carbonated hydroxyapatite-based scaffold using simple gas foaming method""]",70.7,"{""Fisika"": 50, ""Kimia"": 4, ""Matematika"": 1, ""Ilmu Komputer dan Elektronika"": 1}"
Machine Learning Techniques in Sentiment Analysis,Transformative Approaches in Language Model Performance,Ilmu Komputer dan Elektronika,52,"[""BLEND: A Benchmark for LLMs on Everyday Knowledge in Diverse Cultures and Languages"", ""NusaCrowd: Open Source Initiative for Indonesian NLP Resources"", ""CLICK-ID: A novel dataset for Indonesian clickbait headlines""]",99.9,"{""Ilmu Komputer dan Elektronika"": 38, ""Fisika"": 5, ""Matematika"": 3, ""Kimia"": 5, ""Belum terpetakan"": 1}"
Earthquake Dynamics and Volcanic Processes,Dynamics of Magma and Volcanic Eruptions,Fisika,49,"[""Hidden mechanical weaknesses within lava domes provided by buried high-porosity hydrothermal alteration zones"", ""Porosity, strength, and alteration – Towards a new volcano stability assessment tool using VNIR-SWIR reflectance spectroscopy"", ""LiDAR and UAV SfM-MVS of Merapi Volcanic Dome and Crater Rim Change from 2012 to 2014""]",57.1,"{""Fisika"": 36, ""Kimia"": 5, ""Belum terpetakan"": 2, ""Matematika"": 5, ""Ilmu Komputer dan Elektronika"": 1}"
Zeolite Catalysts in Chemical Reaction Optimization,Catalytic Innovations in Zirconia-Based Isomerization,Kimia,40,"[""Recent Progress on Sulfated Nanozirconia as a Solid Acid Catalyst in the Hydrocracking Reaction"", ""Highly selective hierarchical ZSM-5 from kaolin for catalytic cracking of Calophyllum inophyllum oil to biofuel"", ""Synthesis of nickel catalyst supported on ZrO2/SO4pillared bentonite and its application for conversion of coconut oil into gasoline via hydrocracking process""]",60.6,"{""Kimia"": 36, ""Matematika"": 2, ""Ilmu Komputer dan Elektronika"": 2}"
Biodiesel Production and Environmental Impacts,Catalytic Advances in Biodiesel Production Processes,Kimia,38,"[""The synthesis of SO4/ZrO2and Zr/CaO catalysts via hydrothermal treatment and their application for conversion of low-grade coconut oil into biodiesel"", ""Hydrothermal treatment of SO4/TiO2 and TiO2/CaO as heterogeneous catalysts for the conversion of Jatropha oil into biodiesel"", ""Environmental Impacts and the Food vs. Fuel Debate: A Critical Review of Palm Oil as Biodiesel""]",89.3,"{""Kimia"": 35, ""Matematika"": 1, ""Fisika"": 2}"
