pola,sektor
"tidak ada|tidak bekerja|mencari pekerjaan|belum bekerja","Belum bekerja"
"asisten riset|riset dosen|penerbitan jurnal|proofreading|jurnal ilmiah|lembaga konsultan pendidikan|bimbingan belajar|les privat|laboratorium pendidikan|pranata laboratorium|manajemen sistem pendidikan|tenaga pendidikan|ekstakulikuler","Pendidikan & Riset"
"pendidikan|edukasi|education|ed tech|guru|sekolah|universitas|akademi","Pendidikan & Riset"
"^riset|riset dan teknologi|riset sistem|riset geofisika|jasa riset|research and development|business reseach|market research|marketing research|^survei$|^survey$|geosurvey|survey geofisika|nanotechnology","Pendidikan & Riset"
"it consult|it payment|it service|it staff|industri it|managed services it|cloud orchestration|iot|genai|data analytic|telco|satelit|software|programming|game|marketplace|e-commerce|e-commerse|ecommerce|online shop|digital service|bisnis digital|media digital|digital media","Teknologi & Telekomunikasi"
"fintech|financial technology|teknologi finansial","Keuangan, Perbankan & Asuransi"
"teknologi|technology|^it$|information technology|telekomunikasi|elektronik|perakitan elektronik|home appliances|optik","Teknologi & Telekomunikasi"
"bank|perbankan|asuransi|insurance|finance|financial|financing|finansial|keuangan|kredit|leasing|pembiayaan|akuntansi|aktuaria|jaminan sosial|ekonomi|purchasing","Keuangan, Perbankan & Asuransi"
"migas|minyak dan gas|minyak&gas|minyak dan gas bumi|oil and gas|analisis gas|analyst oil|oil, |petrochemical|petrokimia|penyedia listrik|energi|energy|minas|lubricant","Energi & Pertambangan"
"tambang|mining|smelter|nikel|nickel|batubara|batu bara|pengolahan mineral","Energi & Pertambangan"
"farmasi|pharmaceutical|kesehatan|medis|medika|obat|biofarmasi|life science|halal","Kesehatan & Farmasi"
"fmcg|fast moving|consumer goods|kosmetik|kosmetika|beauty|skincare|makeup|personal care|home care|oem-odm","Konsumer, Pangan & Ritel"
"makanan|minuman|pangan|food|beverage|baverage|f&b|fnb|kuliner|gula|minyak sawit|kelapa sawit|atsiri|extract|retail|ritel|penjualan barang|pakaian|sepatu|footwear|sport shoes|export craft","Konsumer, Pangan & Ritel"
"lingkungan|pertanian|perkebunan|agrikultur|agribusiness|peternakan|budidaya|pulp and paper|gempa bumi|industrial hygiene","Agrikultur & Lingkungan"
"pemerintah|cpns|instansi|penegakan hukum|pemilihan umum|pengawasan obat|pengawasan dan pengaturan|pusat data|komunikasi dan informatika|kawasan permukiman|cipta karya|perencanaan wilayah|perencaaan pembangunan|konsultan pembangunan","Pemerintahan & Layanan Publik"
"konstruksi|kontraktor|properti|infrastruktur|logistik|penerbangan|distribusi|supplier|suplier|pengadaan|pengelola kawasan industri|facility management|roofing","Infrastruktur, Konstruksi & Logistik"
"kimia|chemical|manufaktur|manufacture|manufacturing|industri|pabrik|tekstil|plastik|adhesive|cat/coating|paint|coating|percetakan|die cutting|otomasi|otomotif|automotive|vehicle|ingredients|tinta|service engineering|quality control","Manufaktur & Kimia"
"konsultan|consulting|consultant|jasa|agency|outsourcing|human resource|sertifikasi|^tic |testing inspection|hukum|penerjemahan|periklanan|marketing|analisis|analisa|freelance","Konsultansi & Jasa Profesional"
"hotel|pariwisata|hospitality|akomodasi|hiburan|photobooth|foto|seni|designer|media|game","Pariwisata, Media & Kreatif"
